Licence Status,Fuel Type,Pre - 1970,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 - 2019,2020 - 2029
Total(4)(5),,9194,11496,36758,113761,207459,372564,49159
Licensed (1),PETROL,3667,3023,6777,19932,44569,28092,1512
Licensed (1),DIESEL,203,774,8072,56536,131531,321463,46791
Licensed (1),ELECTRIC,2,1,0,2,1,891,45
Licensed (1),PETROL HYBRID,0,0,0,0,1,2,0
Licensed (1),DIESEL HYBRID,0,0,0,0,13,36,4
Licensed (1),DIESEL ELECTRIC HYBRID,0,0,0,0,3,13,0
Licensed (1),PLUGIN PETROL HYBRID,0,0,0,0,0,0,1
Licensed (1),CNG,3,3,4,2,4,1,0
Licensed (1),LPG,5,14,9,20,134,21,0
Licensed (1),OTHER,3,1,2,1,0,0,0
On exemption (2),PETROL,3779,4366,7653,6595,2794,542,0
On exemption (2),DIESEL,533,1875,9157,14355,7321,1679,15
On exemption (2),ELECTRIC,0,1,1,1,1,6,0
On exemption (2),CNG,0,7,16,1,1,0,0
On exemption (2),LPG,13,35,28,13,17,3,0
On exemption (2),OTHER,8,7,1,1,0,0,0
Unlicenced (3),PETROL,856,947,2356,4861,5302,1896,17
Unlicenced (3),DIESEL,117,433,2676,11435,15738,17900,774
Unlicenced (3),ELECTRIC,0,0,0,3,0,11,0
Unlicenced (3),PETROL HYBRID,0,0,0,0,1,1,0
Unlicenced (3),DIESEL HYBRID,0,0,0,0,2,2,0
Unlicenced (3),DIESEL ELECTRIC HYBRID,0,0,0,0,0,3,0
Unlicenced (3),CNG,0,1,3,1,0,1,0
Unlicenced (3),LPG,2,7,3,2,26,1,0
Unlicenced (3),OTHER,3,1,0,0,0,0,0
